REF_DATE,GEO,Index,VALUE,STATUS
2007-01,Canada,Commercial software,107.4,NA
2007-02,Canada,Commercial software,106.3,NA
2007-03,Canada,Commercial software,106.3,NA
2007-04,Canada,Commercial software,105.1,NA
2007-05,Canada,Commercial software,103.4,NA
2007-06,Canada,Commercial software,102.6,NA
2007-07,Canada,Commercial software,102.5,NA
2007-08,Canada,Commercial software,101.4,NA
2007-09,Canada,Commercial software,98.9,NA
2007-10,Canada,Commercial software,97.3,NA
2007-11,Canada,Commercial software,98.5,NA
2007-12,Canada,Commercial software,98.7,NA
2008-01,Canada,Commercial software,100.2,NA
2008-02,Canada,Commercial software,100.4,NA
2008-03,Canada,Commercial software,101.9,NA
2008-04,Canada,Commercial software,102,NA
2008-05,Canada,Commercial software,100.6,NA
2008-06,Canada,Commercial software,101.7,NA
2008-07,Canada,Commercial software,102.1,NA
2008-08,Canada,Commercial software,103.5,NA
2008-09,Canada,Commercial software,102.4,NA
2008-10,Canada,Commercial software,110.7,NA
2008-11,Canada,Commercial software,111.1,NA
2008-12,Canada,Commercial software,110.7,NA
2009-01,Canada,Commercial software,110.8,NA
2009-02,Canada,Commercial software,111.9,NA
2009-03,Canada,Commercial software,112.9,NA
2009-04,Canada,Commercial software,112.3,NA
2009-05,Canada,Commercial software,110.4,NA
2009-06,Canada,Commercial software,106.5,NA
2009-07,Canada,Commercial software,108.1,NA
2009-08,Canada,Commercial software,105.6,NA
2009-09,Canada,Commercial software,106.2,NA
2009-10,Canada,Commercial software,103.8,NA
2009-11,Canada,Commercial software,104.6,NA
2009-12,Canada,Commercial software,105.1,NA
2010-01,Canada,Commercial software,104.2,NA
2010-02,Canada,Commercial software,104.4,NA
2010-03,Canada,Commercial software,103.3,NA
2010-04,Canada,Commercial software,102.3,NA
2010-05,Canada,Commercial software,104.9,NA
2010-06,Canada,Commercial software,104.5,NA
2010-07,Canada,Commercial software,103.4,NA
2010-08,Canada,Commercial software,104.8,NA
2010-09,Canada,Commercial software,102.2,NA
2010-10,Canada,Commercial software,102.3,NA
2010-11,Canada,Commercial software,101.9,NA
2010-12,Canada,Commercial software,100.6,NA
2011-01,Canada,Commercial software,101,NA
2011-02,Canada,Commercial software,99.7,NA
2011-03,Canada,Commercial software,99.6,NA
2011-04,Canada,Commercial software,98.6,NA
2011-05,Canada,Commercial software,99.2,NA
2011-06,Canada,Commercial software,98.4,NA
2011-07,Canada,Commercial software,98.7,NA
2011-08,Canada,Commercial software,98.9,NA
2011-09,Canada,Commercial software,102.9,NA
2011-10,Canada,Commercial software,100.7,NA
2011-11,Canada,Commercial software,100.9,NA
2011-12,Canada,Commercial software,101.3,NA
2012-01,Canada,Commercial software,100,NA
2012-02,Canada,Commercial software,100.1,NA
2012-03,Canada,Commercial software,100.5,NA
2012-04,Canada,Commercial software,100.3,NA
2012-05,Canada,Commercial software,103.2,NA
2012-06,Canada,Commercial software,101.9,NA
2012-07,Canada,Commercial software,101.1,NA
2012-08,Canada,Commercial software,100.3,NA
2012-09,Canada,Commercial software,99.9,NA
2012-10,Canada,Commercial software,101,NA
2012-11,Canada,Commercial software,100.7,NA
2012-12,Canada,Commercial software,101,NA
2013-01,Canada,Commercial software,101.6,NA
2013-02,Canada,Commercial software,102.7,NA
2013-03,Canada,Commercial software,102.4,NA
2013-04,Canada,Commercial software,102.3,NA
2013-05,Canada,Commercial software,101,NA
2013-06,Canada,Commercial software,101.4,NA
2013-07,Canada,Commercial software,100.8,NA
2013-08,Canada,Commercial software,102.1,NA
2013-09,Canada,Commercial software,100.6,NA
2013-10,Canada,Commercial software,101.9,NA
2013-11,Canada,Commercial software,102.4,NA
2013-12,Canada,Commercial software,103.2,NA
2014-01,Canada,Commercial software,105.6,NA
2014-02,Canada,Commercial software,105.3,NA
2014-03,Canada,Commercial software,104.7,NA
2014-04,Canada,Commercial software,104.5,NA
2014-05,Canada,Commercial software,104.2,NA
2014-06,Canada,Commercial software,104,NA
2014-07,Canada,Commercial software,103.4,NA
2014-08,Canada,Commercial software,104.8,NA
2014-09,Canada,Commercial software,105,NA
2014-10,Canada,Commercial software,106.1,NA
2014-11,Canada,Commercial software,106.9,NA
2014-12,Canada,Commercial software,108.4,NA
2015-01,Canada,Commercial software,109.7,NA
2015-02,Canada,Commercial software,113.6,NA
2015-03,Canada,Commercial software,114,NA
2015-04,Canada,Commercial software,114,NA
2015-05,Canada,Commercial software,112,NA
2015-06,Canada,Commercial software,113.1,NA
2015-07,Canada,Commercial software,114.9,NA
2015-08,Canada,Commercial software,117.5,NA
2015-09,Canada,Commercial software,118.1,NA
2015-10,Canada,Commercial software,116.7,NA
2015-11,Canada,Commercial software,118.2,NA
2015-12,Canada,Commercial software,120.3,NA
2016-01,Canada,Commercial software,121.8,NA
2016-02,Canada,Commercial software,120.9,NA
2016-03,Canada,Commercial software,119,NA
2016-04,Canada,Commercial software,118.2,NA
2016-05,Canada,Commercial software,118.5,NA
2016-06,Canada,Commercial software,117.5,NA
2016-07,Canada,Commercial software,118.2,NA
2016-08,Canada,Commercial software,118.1,NA
2016-09,Canada,Commercial software,117.9,NA
2016-10,Canada,Commercial software,118.5,NA
2016-11,Canada,Commercial software,118.9,NA
2016-12,Canada,Commercial software,117.7,NA
2017-01,Canada,Commercial software,117.3,NA
2017-02,Canada,Commercial software,117.5,NA
2017-03,Canada,Commercial software,118.3,NA
2017-04,Canada,Commercial software,117.5,NA
2017-05,Canada,Commercial software,117.6,NA
2017-06,Canada,Commercial software,115.6,NA
2017-07,Canada,Commercial software,113.4,NA
2017-08,Canada,Commercial software,113.9,NA
2017-09,Canada,Commercial software,111.5,NA
2017-10,Canada,Commercial software,112.6,NA
2017-11,Canada,Commercial software,113.7,NA
2017-12,Canada,Commercial software,114,NA
2018-01,Canada,Commercial software,112.9,NA
2018-02,Canada,Commercial software,113,NA
2018-03,Canada,Commercial software,114.2,NA
2018-04,Canada,Commercial software,113.3,NA
2018-05,Canada,Commercial software,114,NA
2018-06,Canada,Commercial software,115.5,NA
2018-07,Canada,Commercial software,115.6,NA
2018-08,Canada,Commercial software,115,NA
2018-09,Canada,Commercial software,115,NA
2018-10,Canada,Commercial software,115.2,NA
2018-11,Canada,Commercial software,115.8,NA
2018-12,Canada,Commercial software,116.7,NA
2019-01,Canada,Commercial software,116.5,NA
2019-02,Canada,Commercial software,116.4,NA
2019-03,Canada,Commercial software,116.6,NA
2019-04,Canada,Commercial software,116.7,NA
2019-05,Canada,Commercial software,117.7,NA
2019-06,Canada,Commercial software,116.9,NA
2019-07,Canada,Commercial software,116.4,NA
2019-08,Canada,Commercial software,116.5,NA
2019-09,Canada,Commercial software,116.3,NA
2019-10,Canada,Commercial software,115.6,NA
2019-11,Canada,Commercial software,116.1,NA
2019-12,Canada,Commercial software,115.9,NA
2020-01,Canada,Commercial software,115.5,NA
2020-02,Canada,Commercial software,115.9,NA
2020-03,Canada,Commercial software,119.3,NA
2020-04,Canada,Commercial software,119.4,NA
2020-05,Canada,Commercial software,119.3,NA
2020-06,Canada,Commercial software,117.3,NA
2020-07,Canada,Commercial software,117.4,NA
2020-08,Canada,Commercial software,116.4,NA
2020-09,Canada,Commercial software,119.3,NA
2020-10,Canada,Commercial software,118.4,NA
2020-11,Canada,Commercial software,117.8,NA
2020-12,Canada,Commercial software,116.5,NA
2021-01,Canada,Commercial software,116,NA
2021-02,Canada,Commercial software,116.2,NA
2021-03,Canada,Commercial software,115.1,NA
